decile,universe,model,n,mean_p,win_rate
1,dev,I,387,0.591302926123997,0.118863049095607
6,dev,I,387,0.591302926123997,0.638242894056848
5,dev,I,387,0.591302926123997,0.54780361757106
2,dev,I,387,0.591302926123997,0.266149870801034
8,dev,I,387,0.591302926123997,0.780361757105943
10,dev,I,387,0.591302926123997,0.963824289405685
9,dev,I,387,0.591302926123997,0.86046511627907
4,dev,I,386,0.591302926123997,0.487046632124352
3,dev,I,387,0.591302926123997,0.423772609819122
7,dev,I,386,0.591302926123997,0.72279792746114
1,dev,C2f,387,0.585150034785541,0.113695090439277
6,dev,C2f,387,0.585150034785541,0.669250645994832
5,dev,C2f,387,0.585150034785541,0.55297157622739
2,dev,C2f,387,0.585150034785541,0.281653746770026
8,dev,C2f,387,0.585150034785541,0.801033591731266
10,dev,C2f,387,0.585150034785541,0.96640826873385
3,dev,C2f,387,0.585150034785541,0.41343669250646
7,dev,C2f,386,0.585150034785541,0.704663212435233
9,dev,C2f,387,0.585150034785541,0.873385012919897
4,dev,C2f,386,0.585150034785541,0.432642487046632
1,dev,C,387,0.586072023866084,0.118863049095607
6,dev,C,387,0.586072023866084,0.677002583979328
5,dev,C,387,0.586072023866084,0.55297157622739
2,dev,C,387,0.586072023866084,0.268733850129199
8,dev,C,387,0.586072023866084,0.803617571059431
10,dev,C,387,0.586072023866084,0.96640826873385
3,dev,C,387,0.586072023866084,0.405684754521964
7,dev,C,386,0.586072023866084,0.709844559585492
9,dev,C,387,0.586072023866084,0.865633074935401
4,dev,C,386,0.586072023866084,0.440414507772021
3,devK,K,309,0.58322712800407,0.394822006472492
8,devK,K,309,0.58322712800407,0.792880258899677
9,devK,K,309,0.58322712800407,0.864077669902913
6,devK,K,309,0.58322712800407,0.647249190938512
4,devK,K,309,0.58322712800407,0.491909385113269
10,devK,K,310,0.58322712800407,0.961290322580645
5,devK,K,309,0.58322712800407,0.540453074433657
7,devK,K,309,0.58322712800407,0.72168284789644
2,devK,K,309,0.58322712800407,0.300970873786408
1,devK,K,310,0.58322712800407,0.125806451612903
5,cond,I,240,0.589042854241895,0.604166666666667
8,cond,I,240,0.589042854241895,0.779166666666667
9,cond,I,240,0.589042854241895,0.9
4,cond,I,239,0.589042854241895,0.472803347280335
10,cond,I,240,0.589042854241895,0.966666666666667
6,cond,I,240,0.589042854241895,0.570833333333333
7,cond,I,239,0.589042854241895,0.711297071129707
1,cond,I,240,0.589042854241895,0.158333333333333
2,cond,I,240,0.589042854241895,0.316666666666667
3,cond,I,240,0.589042854241895,0.383333333333333
3,cond,C2f,240,0.586140774025294,0.395833333333333
7,cond,C2f,239,0.586140774025294,0.694560669456067
8,cond,C2f,240,0.586140774025294,0.8
10,cond,C2f,240,0.586140774025294,0.970833333333333
9,cond,C2f,240,0.586140774025294,0.895833333333333
6,cond,C2f,240,0.586140774025294,0.633333333333333
5,cond,C2f,240,0.586140774025294,0.566666666666667
1,cond,C2f,240,0.586140774025294,0.1625
2,cond,C2f,240,0.586140774025294,0.304166666666667
4,cond,C2f,239,0.586140774025294,0.439330543933054
3,cond,C,240,0.587169846129664,0.416666666666667
7,cond,C,239,0.587169846129664,0.694560669456067
8,cond,C,240,0.587169846129664,0.791666666666667
10,cond,C,240,0.587169846129664,0.970833333333333
9,cond,C,240,0.587169846129664,0.9
6,cond,C,240,0.587169846129664,0.620833333333333
5,cond,C,240,0.587169846129664,0.583333333333333
1,cond,C,240,0.587169846129664,0.15
2,cond,C,240,0.587169846129664,0.3
4,cond,C,239,0.587169846129664,0.435146443514644
5,condK,K,240,0.583073811334752,0.5875
8,condK,K,240,0.583073811334752,0.820833333333333
9,condK,K,240,0.583073811334752,0.8875
4,condK,K,239,0.583073811334752,0.472803347280335
7,condK,K,239,0.583073811334752,0.669456066945607
10,condK,K,240,0.583073811334752,0.975
6,condK,K,240,0.583073811334752,0.595833333333333
1,condK,K,240,0.583073811334752,0.145833333333333
2,condK,K,240,0.583073811334752,0.316666666666667
3,condK,K,240,0.583073811334752,0.391666666666667
