model,split,season,sigma,n_fit
I,dev,2017,15.0269386735749,3092
I,dev,2018,15.2366567726993,3096
I,dev,2019,15.2715576092421,3094
I,dev,2021,14.6793076233346,3098
I,dev,2022,14.4969788918199,3092
I,cond,,14.9372833572494,3868
C2f,dev,2017,15.8090542010749,3092
C2f,dev,2018,15.853078901863,3096
C2f,dev,2019,16.185125824275,3094
C2f,dev,2021,15.4402096963111,3098
C2f,dev,2022,15.3325644602842,3092
C2f,cond,,15.7198700249158,3868
C,dev,2017,15.7337817184557,3092
C,dev,2018,15.8271326069755,3096
C,dev,2019,16.1257715496941,3094
C,dev,2021,15.3447272224294,3098
C,dev,2022,15.2398777418098,3092
C,cond,,15.6500874177702,3868
K,dev,2018,16.5654421176186,2320
K,dev,2019,16.6621386093888,2318
K,dev,2021,15.8105595771686,2322
K,dev,2022,15.5648253987358,2316
K,cond,,16.1405667849817,3092
