universe,slice_type,slice,comparison,metric,estimate,lo95,hi95,lo90,hi90,se,n
dev,season,2017,C - I,logloss,-0.00752664539773007,-0.0230220385646932,0.0061218010828874,-0.0197030192687991,0.0043258105889306,0.00739958987345864,776
dev,season,2017,C - I,brier,-0.00303415607755912,-0.00938111503460997,0.00249399959782969,-0.00792525960588959,0.00167912248514542,0.00297567844963484,776
dev,season,2017,C - I,mae,-0.082678773836452,-0.405751163102493,0.233797106466175,-0.347951128989644,0.188548589133786,0.162764452449936,776
dev,season,2017,C - I,rmse,-0.154238919887522,-0.596651957140966,0.256199848287986,-0.509799641325955,0.190886919175804,0.215065515404652,776
dev,season,2017,C - C2f,logloss,-0.00231487239540695,-0.00637118597337803,0.000739527343317384,-0.00559810336176204,0.000367865605869468,0.00184897243907806,776
dev,season,2017,C - C2f,brier,-0.000870631165959353,-0.0026713696254297,0.000516342204160754,-0.00232469728427667,0.000338265799055396,0.000820961871666025,776
dev,season,2017,C - C2f,mae,-0.033478597841543,-0.0932247888408674,0.0328332762639716,-0.0845788078340417,0.0203465347334672,0.0318436117855008,776
dev,season,2017,C - C2f,rmse,-0.0759845383490507,-0.174588446980813,-0.00629067731710808,-0.156728497448993,-0.0129474590151923,0.0449208726335281,776
dev,season,2017,C2f - I,logloss,-0.00521177300232312,-0.0202035818518118,0.00774608483089881,-0.0169183623061561,0.00593669862324803,0.00706494438549139,776
dev,season,2017,C2f - I,brier,-0.00216352491159976,-0.00810027729966093,0.00306952454427008,-0.00686492903112531,0.00225186561095487,0.00283658891099563,776
dev,season,2017,C2f - I,mae,-0.0492001759949093,-0.354692820844338,0.256760555047854,-0.300776761862185,0.209517792139273,0.154507291785455,776
dev,season,2017,C2f - I,rmse,-0.0782543815384713,-0.485427512811321,0.310232500096526,-0.412176022305276,0.248480368937624,0.202301115009446,776
dev,season,2018,C - I,logloss,0.00244153578679397,-0.00793763850662222,0.0115732480355661,-0.0058705541176929,0.00996482881030304,0.00481620541937629,772
dev,season,2018,C - I,brier,0.00185855828619305,-0.00299890386505311,0.00605105630812717,-0.00202126360946152,0.00531658407473659,0.00225456494377214,772
dev,season,2018,C - I,mae,0.0668559385391809,-0.116766501962774,0.25326865553129,-0.0849742770511418,0.22252776783008,0.0929549531314583,772
dev,season,2018,C - I,rmse,0.0842910533911514,-0.103431366323021,0.268417815058913,-0.0715520865902132,0.239805122119661,0.0955709220411342,772
dev,season,2018,C - C2f,logloss,-0.00301116281937836,-0.00794135868867182,0.00215057423383912,-0.00705137297061611,0.0011811346638075,0.00257400073583138,772
dev,season,2018,C - C2f,brier,-0.00113530266916192,-0.00291773134362634,0.000818580220630182,-0.00262510207756832,0.000457155926035596,0.00096218234677297,772
dev,season,2018,C - C2f,mae,-0.0316429249357078,-0.108971765120452,0.0435842143012439,-0.0932978183087021,0.0286834796092825,0.0382765817471641,772
dev,season,2018,C - C2f,rmse,-0.0645751567761863,-0.149952696038178,0.0101945276427805,-0.133707299522894,-0.00105394661945582,0.0404874781391733,772
dev,season,2018,C2f - I,logloss,0.00545269860617234,-0.00636609864383166,0.0164134269596193,-0.00414252520515652,0.0146707105899697,0.005702931684865,772
dev,season,2018,C2f - I,brier,0.00299386095535497,-0.00245950747992509,0.00804265195588867,-0.00143207514346249,0.00719647316903019,0.00262890769706135,772
dev,season,2018,C2f - I,mae,0.0984988634748887,-0.103222842771107,0.304299603843554,-0.0690259410536356,0.271781521744688,0.103661393375184,772
dev,season,2018,C2f - I,rmse,0.148866210167338,-0.0594087170068669,0.353129431583671,-0.026349606718369,0.322406816379453,0.104936774025699,772
dev,season,2019,C - I,logloss,-0.0127047024098963,-0.0269442547113984,-0.000134692716664558,-0.0244757479062366,-0.00187605617174805,0.00688717167381834,774
dev,season,2019,C - I,brier,-0.00569004551613442,-0.0107866201854442,-0.0010972969199849,-0.00997560930639363,-0.00171141143799525,0.00249840168517355,774
dev,season,2019,C - I,mae,-0.260161780940761,-0.541288776925287,0.0161888457711688,-0.492323665166762,-0.0306029441579299,0.141373326174069,774
dev,season,2019,C - I,rmse,-0.351209292236547,-0.703803173396811,-0.0279409229325127,-0.640346537135938,-0.0767603789008576,0.171423750163594,774
dev,season,2019,C - C2f,logloss,-0.00117985394418728,-0.00368419467974764,0.00115183103256786,-0.00321940431183854,0.00079866572002102,0.00121901791592262,774
dev,season,2019,C - C2f,brier,-0.000390914137258116,-0.00146729464568988,0.0005866415528791,-0.001264592077707,0.000445578021680088,0.000517186659152126,774
dev,season,2019,C - C2f,mae,-0.00292632658076622,-0.062180414602691,0.0446140940237113,-0.0499986196712506,0.0380505316331526,0.0268771968658676,774
dev,season,2019,C - C2f,rmse,-0.00964123002993134,-0.054947497412174,0.0413441386511581,-0.048543965177191,0.0322555717848963,0.0242526812162517,774
dev,season,2019,C2f - I,logloss,-0.011524848465709,-0.026172642146009,0.00121269020903557,-0.0234913658180568,-0.000606129139909001,0.0069170845898661,774
dev,season,2019,C2f - I,brier,-0.0052991313788763,-0.0105483354546078,-0.00067836160633488,-0.00959565552876582,-0.00134452488474382,0.00251585965332198,774
dev,season,2019,C2f - I,mae,-0.257235454359995,-0.525141454251214,0.00518616920749072,-0.47951274497889,-0.0409339298376761,0.134234264981758,774
dev,season,2019,C2f - I,rmse,-0.341568062206616,-0.68333184962447,-0.0235077080680855,-0.627794978902602,-0.0712855812672755,0.169049564185626,774
dev,season,2021,C - I,logloss,-0.0073407444372131,-0.020023758698894,0.00586444640052871,-0.0181026354554922,0.00357150966388963,0.00657255816780091,770
dev,season,2021,C - I,brier,-0.00339756522126454,-0.00930357527255673,0.00253248886561597,-0.0084278148464576,0.00151718600989102,0.00299520661132085,770
dev,season,2021,C - I,mae,-0.258257090966469,-0.561098653319919,0.0656670045933127,-0.511138737129948,0.00256668772874677,0.157428642487056,770
dev,season,2021,C - I,rmse,-0.213902255417629,-0.531722307943691,0.0767348840105501,-0.479355972950553,0.0275798144071426,0.155711673218105,770
dev,season,2021,C - C2f,logloss,-0.00046050717366577,-0.00229449258983311,0.00132923918638077,-0.00193738137847482,0.00101792932761612,0.000916822640414781,770
dev,season,2021,C - C2f,brier,-0.000120679931666244,-0.000754120784870721,0.000529170544905215,-0.000642132701223969,0.000402287119255439,0.000324470351521657,770
dev,season,2021,C - C2f,mae,-0.0320830389645766,-0.0745014059673276,0.00969625802994686,-0.0670922424177805,0.00247016276722834,0.0215407621209555,770
dev,season,2021,C - C2f,rmse,-0.0301059216362667,-0.0711675709516393,0.00914365472596872,-0.0646365299844847,0.00270586749950235,0.0206374159322698,770
dev,season,2021,C2f - I,logloss,-0.00688023726354734,-0.0187233627177806,0.00556453299568709,-0.0169831731926485,0.00338115434005593,0.00616645617746744,770
dev,season,2021,C2f - I,brier,-0.0032768852895983,-0.00886063975259798,0.0023162169605134,-0.00802392841001552,0.00133526767843621,0.00283729824898706,770
dev,season,2021,C2f - I,mae,-0.226174052001892,-0.517107759933654,0.0866272189572279,-0.471780757633228,0.0307529842060476,0.151862954317142,770
dev,season,2021,C2f - I,rmse,-0.183796333781363,-0.476441736782665,0.0780014152875823,-0.428460585685969,0.038379744189379,0.14278831287278,770
dev,season,2022,C - I,logloss,-0.0112897957013064,-0.0201212463362133,-0.00199207179240274,-0.01860574701156,-0.00372024417353029,0.00451803105522613,776
dev,season,2022,C - I,brier,-0.00607050323664373,-0.010339281438252,-0.00216037118544468,-0.00950521960822577,-0.00267872909997877,0.00208532222386499,776
dev,season,2022,C - I,mae,-0.243217726858393,-0.530370627692225,0.0528458669530538,-0.486745722225887,0.00816473205887636,0.149637149209407,776
dev,season,2022,C - I,rmse,-0.268674511092197,-0.524013916697601,-0.0197444245608834,-0.480758167856552,-0.0614773690903375,0.127138005166168,776
dev,season,2022,C - C2f,logloss,0.000240545154550172,-0.00240215813809215,0.0026362645918649,-0.00192689491670849,0.00221976008863989,0.00127372198682229,776
dev,season,2022,C - C2f,brier,0.000258179575371885,-0.000722345093178015,0.00112580970109795,-0.000546800076515667,0.000987507728147538,0.000469891362844642,776
dev,season,2022,C - C2f,mae,0.0119679211911675,-0.0348907569512919,0.0582843198140245,-0.0267334625892271,0.0483501478384439,0.0233137908972432,776
dev,season,2022,C - C2f,rmse,0.00584017843292628,-0.0470265829856695,0.0577602567295749,-0.0386476082393473,0.0483157405496362,0.0267658887275712,776
dev,season,2022,C2f - I,logloss,-0.0115303408558565,-0.0200788613823717,-0.00269418554061992,-0.0187703672517886,-0.00401213977583572,0.00442978559631263,776
dev,season,2022,C2f - I,brier,-0.00632868281201561,-0.0106444833530127,-0.00218495252299563,-0.0098643194992643,-0.00284989389386947,0.00215426021762216,776
dev,season,2022,C2f - I,mae,-0.25518564804956,-0.564195466112637,0.0670433737915526,-0.516432525650539,0.0131629624391615,0.161437237686184,776
dev,season,2022,C2f - I,rmse,-0.274514689525123,-0.552314944324925,0.00341426801079913,-0.504623957753241,-0.0444658447833314,0.138926091532477,776
dev,gp_bucket,0,C - I,logloss,-0.0083487207328333,-0.0215364506692278,0.0019034406649156,-0.0188689478783711,0.000233437825771544,0.00597787623162782,289
dev,gp_bucket,0,C - I,brier,-0.00234844366293346,-0.00888340345059911,0.00246862290178434,-0.0073984876354829,0.00168244969374268,0.0028842775572867,289
