"season","week","game_id","offense_play","defense_play","EPA","play_type","home","away","period","clock_minutes","clock_seconds","offense_score","defense_score"
2025,1,401752665,"Florida State","Alabama",0.00375172329168783,"Kickoff","Florida State","Alabama",1,15,0,0,0
2025,1,401752665,"Alabama","Florida State",0.350982421315808,"Rush","Florida State","Alabama",1,14,53,0,0
2025,1,401752665,"Alabama","Florida State",1.24861056175014,"Pass Reception","Florida State","Alabama",1,14,20,0,0
2025,1,401752665,"Alabama","Florida State",-0.341561648616907,"Rush","Florida State","Alabama",1,13,42,0,0
2025,1,401752665,"Alabama","Florida State",0.235099381061497,"Rush","Florida State","Alabama",1,13,17,0,0
2025,1,401752665,"Alabama","Florida State",-1.57478446804701,"Penalty","Florida State","Alabama",1,12,36,0,0
2025,1,401752665,"Alabama","Florida State",-0.386647891005037,"Rush","Florida State","Alabama",1,12,11,0,0
2025,1,401752665,"Alabama","Florida State",2.5959127365666,"Rush","Florida State","Alabama",1,11,42,0,0
2025,1,401752665,"Alabama","Florida State",0.442901224194535,"Rush","Florida State","Alabama",1,10,59,0,0
2025,1,401752665,"Alabama","Florida State",-1.39401043510475,"Rush","Florida State","Alabama",1,10,18,0,0
2025,1,401752665,"Alabama","Florida State",1.6396963000033,"Rush","Florida State","Alabama",1,9,40,0,0
2025,1,401752665,"Alabama","Florida State",0.589359297807581,"Rush","Florida State","Alabama",1,8,58,0,0
2025,1,401752665,"Alabama","Florida State",-0.186397775562215,"Rush","Florida State","Alabama",1,8,20,0,0
2025,1,401752665,"Alabama","Florida State",-0.849029286038713,"Pass Incompletion","Florida State","Alabama",1,7,51,0,0
2025,1,401752665,"Alabama","Florida State",0.00174733135503535,"Timeout","Florida State","Alabama",1,7,51,0,0
2025,1,401752665,"Alabama","Florida State",1.37552906898732,"Rush","Florida State","Alabama",1,7,44,0,0
2025,1,401752665,"Alabama","Florida State",1.56142611064077,"Pass Reception","Florida State","Alabama",1,7,11,0,0
2025,1,401752665,"Alabama","Florida State",-0.533484912992781,"Rush","Florida State","Alabama",1,6,51,0,0
2025,1,401752665,"Alabama","Florida State",1.12356358103716,"Passing Touchdown","Florida State","Alabama",1,6,10,7,0
2025,1,401752665,"Alabama","Florida State",0.00601830372196266,"Kickoff","Florida State","Alabama",1,6,10,7,0
2025,1,401752665,"Florida State","Alabama",-0.569045305678145,"Rush","Florida State","Alabama",1,5,58,0,7
2025,1,401752665,"Florida State","Alabama",-0.479494648776945,"Pass Reception","Florida State","Alabama",1,5,35,0,7
2025,1,401752665,"Florida State","Alabama",2.41218291343597,"Penalty","Florida State","Alabama",1,5,16,0,7
2025,1,401752665,"Florida State","Alabama",0.938520523519337,"Rush","Florida State","Alabama",1,5,4,0,7
2025,1,401752665,"Florida State","Alabama",-0.756358183034311,"Penalty","Florida State","Alabama",1,4,32,0,7
2025,1,401752665,"Florida State","Alabama",-0.233558891182787,"Rush","Florida State","Alabama",1,4,15,0,7
2025,1,401752665,"Florida State","Alabama",-0.545565355785571,"Pass Reception","Florida State","Alabama",1,3,55,0,7
2025,1,401752665,"Florida State","Alabama",0.0064682776256415,"Timeout","Florida State","Alabama",1,3,34,0,7
2025,1,401752665,"Florida State","Alabama",4.07934370770176,"Pass Reception","Florida State","Alabama",1,3,18,0,7
2025,1,401752665,"Florida State","Alabama",1.99602495035219,"Rushing Touchdown","Florida State","Alabama",1,3,4,7,7
2025,1,401752665,"Florida State","Alabama",0.00481724395026917,"Kickoff","Florida State","Alabama",1,3,4,7,7
2025,1,401752665,"Alabama","Florida State",-0.898715043238093,"Rush","Florida State","Alabama",1,2,51,7,7
2025,1,401752665,"Alabama","Florida State",3.14701549131913,"Pass Reception","Florida State","Alabama",1,2,20,7,7
2025,1,401752665,"Alabama","Florida State",0.00777931957497602,"Pass Reception","Florida State","Alabama",1,2,0,7,7
2025,1,401752665,"Alabama","Florida State",-0.201985281566351,"Rush","Florida State","Alabama",1,1,20,7,7
2025,1,401752665,"Alabama","Florida State",1.19297275523888,"Pass Reception","Florida State","Alabama",1,0,31,7,7
2025,1,401752665,"Alabama","Florida State",0.0646376344240487,"Pass Reception","Florida State","Alabama",1,0,1,7,7
2025,1,401752665,"Alabama","Florida State",NA,"End Period","Florida State","Alabama",1,0,0,7,7
2025,1,401752665,"Alabama","Florida State",-1.32465483645293,"Pass Reception","Florida State","Alabama",2,14,55,7,7
2025,1,401752665,"Alabama","Florida State",-0.371890828708141,"Penalty","Florida State","Alabama",2,14,25,7,7
2025,1,401752665,"Alabama","Florida State",-2.05822376250761,"Sack","Florida State","Alabama",2,13,57,7,7
2025,1,401752665,"Alabama","Florida State",-1.73984407484859,"Field Goal Missed","Florida State","Alabama",2,13,12,7,7
2025,1,401752665,"Florida State","Alabama",-0.340184780107241,"Pass Reception","Florida State","Alabama",2,13,0,7,7
2025,1,401752665,"Florida State","Alabama",-0.625279892430085,"Pass Reception","Florida State","Alabama",2,12,23,7,7
2025,1,401752665,"Florida State","Alabama",2.24481173450392,"Pass Reception","Florida State","Alabama",2,11,47,7,7
2025,1,401752665,"Florida State","Alabama",-0.59046454062516,"Rush","Florida State","Alabama",2,11,32,7,7
2025,1,401752665,"Florida State","Alabama",-0.160494493629355,"Rush","Florida State","Alabama",2,11,3,7,7
2025,1,401752665,"Florida State","Alabama",1.25228276168514,"Rush","Florida State","Alabama",2,10,23,7,7
2025,1,401752665,"Florida State","Alabama",-0.317859184395787,"Rush","Florida State","Alabama",2,9,46,7,7
2025,1,401752665,"Florida State","Alabama",3.46944265445487,"Rushing Touchdown","Florida State","Alabama",2,9,13,14,7
2025,1,401752665,"Florida State","Alabama",-0.00119780863958485,"Kickoff","Florida State","Alabama",2,9,13,14,7
2025,1,401752665,"Alabama","Florida State",-0.754911323265992,"Pass Incompletion","Florida State","Alabama",2,9,8,7,14
2025,1,401752665,"Alabama","Florida State",-0.591367550778299,"Rush","Florida State","Alabama",2,8,52,7,14
2025,1,401752665,"Alabama","Florida State",-1.05521229175052,"Pass Incompletion","Florida State","Alabama",2,8,37,7,14
2025,1,401752665,"Alabama","Florida State",0.373949979871806,"Punt","Florida State","Alabama",2,8,23,7,14
2025,1,401752665,"Florida State","Alabama",0.994493013492086,"Pass Reception","Florida State","Alabama",2,8,5,14,7
2025,1,401752665,"Florida State","Alabama",-0.715932075731947,"Rush","Florida State","Alabama",2,7,39,14,7
2025,1,401752665,"Florida State","Alabama",1.42905343614836,"Rush","Florida State","Alabama",2,7,5,14,7
2025,1,401752665,"Florida State","Alabama",-0.346498681510714,"Rush","Florida State","Alabama",2,6,27,14,7
2025,1,401752665,"Florida State","Alabama",1.03201677746985,"Rush","Florida State","Alabama",2,5,47,14,7
2025,1,401752665,"Florida State","Alabama",-0.477898991559221,"Rush","Florida State","Alabama",2,5,12,14,7
2025,1,401752665,"Florida State","Alabama",-0.385375516127903,"Rush","Florida State","Alabama",2,4,28,14,7
2025,1,401752665,"Florida State","Alabama",-1.34754020282892,"Pass Incompletion","Florida State","Alabama",2,3,50,14,7
2025,1,401752665,"Florida State","Alabama",-0.0110048922847727,"Timeout","Florida State","Alabama",2,3,50,14,7
2025,1,401752665,"Florida State","Alabama",1.75946602807895,"Field Goal Good","Florida State","Alabama",2,3,44,17,7
2025,1,401752665,"Florida State","Alabama",-0.00798907823914596,"Kickoff","Florida State","Alabama",2,3,44,17,7
2025,1,401752665,"Alabama","Florida State",0.173661485412911,"Rush","Florida State","Alabama",2,3,33,7,17
2025,1,401752665,"Alabama","Florida State",-0.435836815447617,"Rush","Florida State","Alabama",2,3,13,7,17
2025,1,401752665,"Alabama","Florida State",1.04688785207651,"Pass Reception","Florida State","Alabama",2,2,25,7,17
2025,1,401752665,"Alabama","Florida State",0.115648640236365,"Pass Reception","Florida State","Alabama",2,1,59,7,17
2025,1,401752665,"Alabama","Florida State",-0.412213637453513,"Pass Incompletion","Florida State","Alabama",2,1,52,7,17
2025,1,401752665,"Alabama","Florida State",-0.580214077107486,"Rush","Florida State","Alabama",2,1,44,7,17
2025,1,401752665,"Alabama","Florida State",-0.00887759514936431,"Timeout","Florida State","Alabama",2,1,44,7,17
2025,1,401752665,"Alabama","Florida State",-1.28150808345097,"Punt","Florida State","Alabama",2,1,36,7,17
2025,1,401752665,"Florida State","Alabama",-0.0504764298127315,"Rush","Florida State","Alabama",2,1,26,17,7
2025,1,401752665,"Florida State","Alabama",-0.0432796696138522,"Rush","Florida State","Alabama",2,1,17,17,7
2025,1,401752665,"Florida State","Alabama",0.312861362099023,"Rush","Florida State","Alabama",2,0,36,17,7
2025,1,401752665,"Florida State","Alabama",-0.180015392388466,"Rush","Florida State","Alabama",2,0,30,17,7
2025,1,401752665,"Florida State","Alabama",-0.891702075827264,"Rush","Florida State","Alabama",2,0,15,17,7
2025,1,401752665,"Florida State","Alabama",NA,"End of Half","Florida State","Alabama",2,0,0,17,7
2025,1,401752665,"Alabama","Florida State",-0.91071799295287,"Kickoff Return (Offense)","Florida State","Alabama",3,15,0,7,17
2025,1,401752665,"Florida State","Alabama",0.67837416444678,"Rush","Florida State","Alabama",3,14,44,17,7
2025,1,401752665,"Florida State","Alabama",0.45069201573875,"Rush","Florida State","Alabama",3,14,19,17,7
2025,1,401752665,"Florida State","Alabama",-0.540463475653036,"Rush","Florida State","Alabama",3,13,37,17,7
2025,1,401752665,"Florida State","Alabama",-1.12571997504459,"Pass Incompletion","Florida State","Alabama",3,13,9,17,7
2025,1,401752665,"Florida State","Alabama",-0.607862595697012,"Penalty","Florida State","Alabama",3,13,9,17,7
2025,1,401752665,"Florida State","Alabama",-0.37545271107497,"Pass Reception","Florida State","Alabama",3,12,35,17,7
2025,1,401752665,"Florida State","Alabama",0.519891463342272,"Punt","Florida State","Alabama",3,12,19,17,7
2025,1,401752665,"Alabama","Florida State",-0.947311424106143,"Pass Incompletion","Florida State","Alabama",3,12,11,7,17
2025,1,401752665,"Alabama","Florida State",3.46032465691851,"Pass Reception","Florida State","Alabama",3,12,3,7,17
2025,1,401752665,"Alabama","Florida State",-0.498149797766826,"Pass Reception","Florida State","Alabama",3,11,24,7,17
2025,1,401752665,"Alabama","Florida State",-0.503438123529179,"Pass Reception","Florida State","Alabama",3,11,24,7,17
2025,1,401752665,"Alabama","Florida State",-2.03614593371713,"Pass Incompletion","Florida State","Alabama",3,10,31,7,17
2025,1,401752665,"Alabama","Florida State",-2.32971720688199,"Pass Reception","Florida State","Alabama",3,10,22,7,17
2025,1,401752665,"Florida State","Alabama",3.77769564267969,"Pass Reception","Florida State","Alabama",3,10,0,17,7
2025,1,401752665,"Florida State","Alabama",1.00380431921151,"Rushing Touchdown","Florida State","Alabama",3,9,45,24,7
2025,1,401752665,"Florida State","Alabama",0.00769611659137082,"Kickoff","Florida State","Alabama",3,9,45,24,7
2025,1,401752665,"Alabama","Florida State",-0.16672334694991,"Rush","Florida State","Alabama",3,9,31,7,24
2025,1,401752665,"Alabama","Florida State",-1.29584911416574,"Penalty","Florida State","Alabama",3,9,18,7,24
2025,1,401752665,"Alabama","Florida State",4.57555914463106,"Pass Reception","Florida State","Alabama",3,8,59,7,24
2025,1,401752665,"Alabama","Florida State",-0.849544692749062,"Pass Incompletion","Florida State","Alabama",3,8,25,7,24
2025,1,401752665,"Alabama","Florida State",-1.28482118249919,"Rush","Florida State","Alabama",3,8,14,7,24
2025,1,401752665,"Alabama","Florida State",3.26664020050879,"Pass Reception","Florida State","Alabama",3,7,45,7,24
2025,1,401752665,"Alabama","Florida State",-0.458095270908432,"Rush","Florida State","Alabama",3,7,21,7,24
2025,1,401752665,"Alabama","Florida State",-0.998522050860639,"Pass Incompletion","Florida State","Alabama",3,6,59,7,24
2025,1,401752665,"Alabama","Florida State",-1.78247347205396,"Pass Incompletion","Florida State","Alabama",3,6,54,7,24
2025,1,401752665,"Alabama","Florida State",3.8225109455085,"Penalty","Florida State","Alabama",3,6,49,7,24
